event_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,outcome_name,outcome_price,outcome_point
cf86267df277548613c62bde3ac59626,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,Rheindorf Altach,Hartberg,bovada,Bovada,2025-10-25T16:46:45Z,h2h,2025-10-25T16:46:45Z,Hartberg,1.01,
cf86267df277548613c62bde3ac59626,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,Rheindorf Altach,Hartberg,bovada,Bovada,2025-10-25T16:46:45Z,h2h,2025-10-25T16:46:45Z,Rheindorf Altach,81.0,
cf86267df277548613c62bde3ac59626,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,Rheindorf Altach,Hartberg,bovada,Bovada,2025-10-25T16:46:45Z,h2h,2025-10-25T16:46:45Z,Draw,23.0,
cf86267df277548613c62bde3ac59626,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,Rheindorf Altach,Hartberg,bovada,Bovada,2025-10-25T16:46:45Z,spreads,2025-10-25T16:46:45Z,Hartberg,2.6,-2.0
cf86267df277548613c62bde3ac59626,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,Rheindorf Altach,Hartberg,bovada,Bovada,2025-10-25T16:46:45Z,spreads,2025-10-25T16:46:45Z,Rheindorf Altach,1.47,2.0
cf86267df277548613c62bde3ac59626,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,Rheindorf Altach,Hartberg,fanduel,FanDuel,2025-10-25T16:45:23Z,h2h,2025-10-25T16:45:23Z,Hartberg,1.11,
cf86267df277548613c62bde3ac59626,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,Rheindorf Altach,Hartberg,fanduel,FanDuel,2025-10-25T16:45:23Z,h2h,2025-10-25T16:45:23Z,Rheindorf Altach,51.0,
cf86267df277548613c62bde3ac59626,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,Rheindorf Altach,Hartberg,fanduel,FanDuel,2025-10-25T16:45:23Z,h2h,2025-10-25T16:45:23Z,Draw,6.0,
cf86267df277548613c62bde3ac59626,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,Rheindorf Altach,Hartberg,betrivers,BetRivers,2025-10-25T16:46:22Z,h2h,2025-10-25T16:46:22Z,Hartberg,1.07,
cf86267df277548613c62bde3ac59626,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,Rheindorf Altach,Hartberg,betrivers,BetRivers,2025-10-25T16:46:22Z,h2h,2025-10-25T16:46:22Z,Rheindorf Altach,56.0,
cf86267df277548613c62bde3ac59626,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,Rheindorf Altach,Hartberg,betrivers,BetRivers,2025-10-25T16:46:22Z,h2h,2025-10-25T16:46:22Z,Draw,7.5,
cf86267df277548613c62bde3ac59626,soccer_austria_bundesliga,Austrian Football Bundesliga,2025-10-25T15:01:00Z,Rheindorf Altach,Hartberg,draftkings,DraftKings,2025-10-25T16:46:45Z,h2h,2025-10-25T16:46:45Z,Hartberg,1.09,
